timestamp,spread,bid_depth,ask_depth,difference,bid_volume,ask_volume,volume_difference,weighted_spread,bid_slope,ask_slope,vol,returns
2018-06-04 23:00:00,2.860000000000582,1613.0,1469.0,-144.0,9209.50729813,2798.41645966,-6411.09083847,190778.32488705404,981.98264863,942.94913,0.616516178532009,-0.005065129750292453
2018-06-05 00:00:00,1.8599999999996728,1610.0,1467.0,-143.0,8967.21505913,2764.18986404,-6203.02519509,-1715298.844541896,746.4108947899999,961.2240204,0.16427524871441132,-0.0013765802164213664
2018-06-05 01:00:00,8.220000000000255,1624.0,1466.0,-158.0,9228.32504612,2819.41517166,-6408.9098744600005,-632295.5577776469,981.50833775,1051.22131871,0.3032409286074034,0.0005457899911631725
2018-06-05 02:00:00,4.229999999999563,1627.0,1481.0,-146.0,9324.58418283,2841.24013284,-6483.34404999,-172296.94399875775,903.73368307,915.13433731,0.7137215294116689,-0.0014545437690936754
2018-06-05 03:00:00,0.3099999999994907,1606.0,1374.0,-232.0,9495.86389901,2848.86328848,-6647.000610530001,-860204.0205837367,756.2669453999999,859.66829957,0.3718098837824173,-0.012214780927166794
2018-06-05 04:00:00,5.609999999999673,1603.0,1383.0,-220.0,9520.37609136,3082.55643225,-6437.81965911,-2205772.384185234,885.02624554,1165.90891981,0.4953758196147123,0.002540722466894979
2018-06-05 05:00:00,5.1899999999996,1614.0,1386.0,-228.0,9631.04469264,2906.1215007,-6724.92319194,766290.5442766463,780.65224239,667.33708713,0.44268405799742644,-0.004659545167524944
2018-06-05 06:00:00,4.099999999999454,1602.0,1413.0,-189.0,9269.96294866,2868.57042182,-6401.392526840001,-1341144.868264325,772.39615522,939.89506808,0.40990934330886514,0.006825739184432681
2018-06-05 07:00:00,1.9200000000000728,1619.0,1409.0,-210.0,9285.75889408,2680.06374597,-6605.69514811,91667.49204274268,708.8297391599999,687.23060869,0.38946803083865283,-0.0006369062461774939
2018-06-05 08:00:00,1.75,1591.0,1371.0,-220.0,9435.12654545,2782.08259252,-6653.04395293,-684073.98169633,781.94956431,861.94095234,0.43356152735494,-0.002028547998899711
2018-06-05 09:00:00,0.0099999999993087,1609.0,1440.0,-169.0,9171.19189732,2675.54776682,-6495.644130500001,-236221.1212866688,743.71939888,764.12156802,0.29990288923781083,0.005986808993736996
2018-06-05 10:00:00,4.270000000000437,1608.0,1397.0,-211.0,9429.98718023,2793.3455629,-6636.64161733,1181581.0543580863,880.02613923,709.79631806,0.3487112768972762,-0.00411519341756622
2018-06-05 11:00:00,0.6300000000001091,1564.0,1370.0,-194.0,9346.13380429,2467.63186639,-6878.5019379000005,2670042.2697316166,805.2213049300001,433.6177720999999,0.37781317760679467,-0.00117541852429316
2018-06-05 12:00:00,0.0799999999999272,1570.0,1345.0,-225.0,9278.0225687,2468.69404694,-6809.3285217600005,3372016.947753789,951.7292731,484.8217873,0.2993265942719008,0.00010317401723252022
2018-06-05 13:00:00,0.2200000000002546,1588.0,1372.0,-216.0,9590.34362836,2637.95492163,-6952.38870673,3513852.741328839,1019.21593946,533.2613208299999,0.8012719216516352,-0.0005099047074321203
2018-06-05 14:00:00,8.139999999999418,1568.0,1329.0,-239.0,9242.34679376,2550.03966956,-6692.3071242000005,728220.9219693318,611.1718483,502.49779436,0.41778160225087824,-0.003255753654861943
2018-06-05 15:00:00,6.490000000000691,1594.0,1340.0,-254.0,9444.96188768,2350.55622678,-7094.4056609,66843.72994047683,752.5279643599999,731.43285256,1.0800341834752152,0.00289745079199446
2018-06-05 16:00:00,0.5399999999999636,1614.0,1551.0,-63.0,8711.726611940001,2220.13569456,-6491.590917380001,1798059.3136480078,821.47962433,567.79884266,0.43790261300576117,0.021507310892656607
2018-06-05 17:00:00,6.789999999999964,1625.0,1546.0,-79.0,8590.22424239,2956.13258561,-5634.09165678,-1945025.1370244697,1071.09081521,1309.31498915,1.037175425023655,-0.0004063089596151132
2018-06-05 18:00:00,0.339999999999236,1623.0,1663.0,40.0,9100.18964797,2869.99717624,-6230.192471730001,3642976.438466527,1695.05625726,1195.08492595,0.3696057148156621,0.006576408060444434
2018-06-05 19:00:00,5.920000000000073,1633.0,1681.0,48.0,9253.07939451,2743.66332442,-6509.416070089999,5599905.812801193,1770.37324211,1015.1543270799998,0.27182223363497315,0.00019560826684521612
2018-06-05 20:00:00,6.349999999999454,1639.0,1686.0,47.0,9075.11826144,2435.36372855,-6639.7545328900005,6238311.999552916,1538.6880128500002,702.1624825499999,0.2944061882692869,-0.00019495179927763665
2018-06-05 21:00:00,4.869999999999891,1632.0,1700.0,68.0,8852.08338412,2650.55643889,-6201.52694523,3963913.1446106937,1325.70500198,788.32351189,0.5625755771877415,0.001749922887211791
2018-06-05 22:00:00,0.1200000000008003,1628.0,1586.0,-42.0,8671.6056656,2550.37865735,-6121.22700825,3330215.9707135223,1183.1840804,727.3995575700001,0.24952098608825796,-0.005309709192513494
2018-06-05 23:00:00,1.9699999999993447,1631.0,1687.0,56.0,8706.35665767,2660.10481861,-6046.25183906,2603098.556433786,1176.24102641,816.75458541,0.25145451765465937,0.004638436679842366
2018-06-06 00:00:00,0.7699999999995271,1648.0,1706.0,58.0,8768.28944023,2710.50301728,-6057.786422950001,3405111.4586425265,1190.43437593,728.6547947399999,0.23358214201525573,-0.0009381762281169526
2018-06-06 01:00:00,5.659999999999855,1650.0,1662.0,12.0,8823.46483278,2731.22934705,-6092.235485730001,3704993.645631032,1246.7015796,744.49678117,0.35185467850284574,-0.0019006984693242684
2018-06-06 02:00:00,7.469999999999345,1624.0,1718.0,94.0,8726.38343502,2771.83549465,-5954.547940369999,2261149.9447888946,1215.41680364,899.9638385899999,0.2554141259493386,0.004345985596110571
2018-06-06 03:00:00,8.320000000000618,1639.0,1682.0,43.0,8671.86586035,2735.1370208,-5936.728839550001,2391542.337391796,1113.7366457699998,783.6708174199999,0.16919063197964465,-0.0027072151085924413
2018-06-06 04:00:00,0.1899999999995998,1639.0,1650.0,11.0,8606.42399801,2726.29576389,-5880.128234119999,2267721.7853368446,1077.7832012699998,764.46050099,0.23747053469007118,-0.0014066561915560354
2018-06-06 05:00:00,2.5,1626.0,1615.0,-11.0,8604.80033707,2741.41286064,-5863.387476430001,2255694.706653391,1093.66265519,781.0637973400001,0.3703204421157798,-0.001571933712924527
2018-06-06 06:00:00,0.9200000000000728,1630.0,1641.0,11.0,8517.92195281,2601.13303601,-5916.7889168,1910067.9397984024,989.37549339,722.17021141,0.4784634095274033,0.0025386065773472656
2018-06-06 07:00:00,5.230000000000473,1623.0,1707.0,84.0,8506.08159243,2581.3234176,-5924.75817483,1891593.3635398063,980.36599267,716.30707072,0.5168167073510356,0.0029389592349261906
2018-06-06 08:00:00,0.6000000000003638,1627.0,1660.0,33.0,8735.123068,2638.06156527,-6097.061502730001,3148237.135725878,1204.25441584,774.8312465500001,0.33046071719117864,-0.00179146848981594
2018-06-06 09:00:00,6.4299999999993815,1636.0,1672.0,36.0,8677.71206125,2567.92347782,-6109.7885834300005,3118526.717126294,1153.07774553,727.90633764,0.3004219131506523,0.0007587997686969383
2018-06-06 10:00:00,4.349999999999454,1646.0,1628.0,-18.0,8578.46385543,2529.24821543,-6049.21564,2653978.2828009976,1007.31562168,644.90974533,0.1970483734562238,-0.003804376331820985
2018-06-06 11:00:00,5.729999999999563,1650.0,1655.0,5.0,8651.39312808,2598.98837624,-6052.40475184,1938458.0909181368,982.4254201,714.46258012,0.2579447841522742,0.00188166478266719
2018-06-06 12:00:00,5.0900000000001455,1657.0,1675.0,18.0,8755.81702314,2643.70861306,-6112.10841008,2238298.6016104426,1065.39425638,758.20825534,0.4256030515269312,0.0009729734755860832
2018-06-06 13:00:00,2.25,1667.0,1734.0,67.0,10554.21445889,2529.02916405,-8025.185294840001,17680386.89207568,2961.15913193,630.63571215,0.323391127504325,0.0034509425086204472
2018-06-06 14:00:00,0.7100000000000364,1692.0,1699.0,7.0,10839.59676098,2708.6253632,-8130.971397780001,17559208.64171387,3034.8836615400005,720.52015026,0.18360244069405512,-0.002283573867324923
2018-06-06 15:00:00,0.8599999999996726,1663.0,1681.0,18.0,10856.19336234,3086.70429655,-7769.48906579,15181779.79225122,3140.60112484,1129.68610907,0.31258780423328086,-0.0003887529176748611
2018-06-06 16:00:00,4.619999999999891,1648.0,1772.0,124.0,10681.63784419,3062.73628501,-7618.90155918,15508948.278737014,3217.68513045,1163.10883709,0.8377526954610208,0.003676939131316928
2018-06-06 17:00:00,5.409999999999855,1634.0,1460.0,-174.0,8771.26506142,2670.33068978,-6100.93437164,731924.6845453922,892.42179214,781.21430301,0.3317969010860183,-0.018008432997747008
